Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Garfield's Nightmare,DS,2007,Platform,Game Factory,0.01,0,0,0,0.02
Gauntlet / Rampart,GBA,2005,Misc,Zoo Digital Publishing,0.02,0.01,0,0,0.03
Gauntlet: Seven Sorrows,PS2,2005,Role-Playing,Midway Games,0.2,0.15,0,0.05,0.4
Gauntlet: Seven Sorrows,XB,2005,Role-Playing,Midway Games,0.14,0.04,0,0.01,0.18
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
Gears of War,PC,2007,Shooter,Microsoft Game Studios,0,0.01,0,0,0.02
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
Gegege no Kitarou: Youkai Daigekisen,DS,2008,Action,Namco Bandai Games,0,0,0.06,0,0.06
Geist,GC,2005,Adventure,Nintendo,0.11,0.03,0,0,0.15
Generation of Chaos,PSP,2005,Role-Playing,Midas Interactive Entertainment,0.05,0,0,0,0.06
Genji: Dawn of the Samurai,PS2,2005,Action,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23
Genji: Days of the Blade,PS3,2006,Action,Sony Computer Entertainment,0.18,0.38,0.06,0.14,0.76
Gensou Suikoden I & II,PSP,2006,Role-Playing,Konami Digital Entertainment,0,0,0.03,0,0.03
Geometry Wars: Galaxies,DS,2007,Shooter,Vivendi Games,0.13,0,0,0.01,0.15
Geometry Wars: Galaxies,Wii,2007,Shooter,Vivendi Games,0.11,0,0,0.01,0.13
George of the Jungle and the Search for the Secret,DS,2008,Platform,Ignition Entertainment,0.05,0,0,0,0.05
George of the Jungle and the Search for the Secret,Wii,2008,Platform,Ignition Entertainment,0.02,0,0,0,0.02
Get On Da Mic,PS2,2004,Misc,Eidos Interactive,0.07,0.06,0,0.02,0.15
Ghost in the Shell: Stand Alone Complex,PS2,2004,Adventure,Namco Bandai Games,0.08,0.06,0,0.02,0.16
Ghost in the Shell: Stand Alone Complex,PSP,2005,Adventure,Atari,0.06,0,0,0.01,0.07
Ghost Rider,PSP,2007,Action,Take-Two Interactive,0.22,0,0,0.02,0.24
Ghost Squad,Wii,2007,Shooter,Sega,0.42,0.21,0.08,0.07,0.79
Gift: Prism,PS2,2006,Adventure,Sweets,0,0,0.02,0,0.02
Gintama DS: Yorozuya Daisoudou,DS,2006,Action,Namco Bandai Games,0,0,0.07,0,0.07
Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari,DS,2007,Role-Playing,Banpresto,0,0,0.08,0,0.08
Gintama: Banji Oku Chuubu!,Wii,2007,Action,Namco Bandai Games,0,0,0.03,0,0.03
Gintama: Gin-San to Issho! Boku no Kabuki Machi Nikki,PS2,2007,Action,Namco Bandai Games,0,0,0.08,0,0.08
Gitaroo Man Lives!,PSP,2006,Misc,Tecmo Koei,0.03,0,0,0,0.04
Global Defence Force,PS2,2005,Shooter,Essential Games,0,0,0.17,0,0.17
Glory Days 2,DS,2007,Strategy,Ghostlight,0.08,0,0,0.01,0.1
Glory of Heracles,DS,2008,Role-Playing,Nintendo,0.2,0,0.08,0.01,0.3
Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,0.53,0.02,0,0.04,0.59
Go Diego Go! Great Dinosaur Rescue,DS,2008,Action,Take-Two Interactive,0.44,0.01,0,0.03,0.48
Go Diego Go! Safari Rescue,Wii,2008,Action,Take-Two Interactive,0.48,0.01,0,0.04,0.53
Go Diego Go!: Safari Rescue,PS2,2008,Action,Take-Two Interactive,0.02,0.02,0,0.01,0.04
"Go, Diego, Go! Safari Rescue",DS,2007,Adventure,Take-Two Interactive,0.15,0.01,0,0.01,0.17
"Go, Diego, Go!: Great Dinosaur Rescue",PS2,2008,Action,Take-Two Interactive,0.16,0.12,0,0.04,0.32
Go! Sudoku,PSP,2005,Puzzle,Sony Computer Entertainment,0.11,0,0,0.01,0.12
Go! Sudoku (JP sales),PSP,2005,Puzzle,Sony Computer Entertainment,0,0,0.11,0,0.11
God Hand,PS2,2006,Action,Capcom,0,0,0.07,0,0.07
God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19
Godzilla Unleashed,Wii,2007,Fighting,Atari,0.15,0,0,0.01,0.16
Godzilla Unleashed: Double Smash,DS,2007,Action,Atari,0.11,0,0,0.01,0.12
Godzilla: Save the Earth,PS2,2004,Fighting,Atari,0.23,0.18,0,0.06,0.47
Godzilla: Save the Earth,XB,2004,Fighting,Atari,0.1,0.03,0,0,0.14
Goku Makaimura Kai,PSP,2007,Platform,Capcom,0,0,0.01,0,0.01
Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1.11,0.04,0.06,0.09,1.31
Gold's Gym: Cardio Workout (Others sales),Wii,2008,Sports,Ubisoft,0,0.3,0,0.02,0.32
Golden Axe: Beast Rider,X360,2008,Action,Sega,0.19,0.11,0,0.03,0.33
Golden Axe: Beast Rider,PS3,2008,Action,Sega,0.13,0.14,0,0.06,0.32
Golden Nugget Casino,GBA,2004,Misc,Majesco Entertainment,0.18,0.07,0,0,0.25
Golden Nugget Casino / Texas Hold 'Em Double Pack,GBA,2005,Misc,Majesco Entertainment,0.02,0.01,0,0,0.03
Golden Nugget Casino DS,DS,2005,Misc,Majesco Entertainment,0.02,0,0,0,0.02
GoldenEye: Rogue Agent,PS2,2004,Shooter,Electronic Arts,0.54,0.02,0,0.09,0.64
GoldenEye: Rogue Agent,XB,2004,Shooter,Electronic Arts,0.34,0.13,0,0.02,0.49
GoldenEye: Rogue Agent,GC,2004,Shooter,Electronic Arts,0.28,0.07,0,0.01,0.36
GoldenEye: Rogue Agent,DS,2005,Shooter,Electronic Arts,0.1,0,0,0.01,0.11
Goosebumps HorrorLand,DS,2008,Adventure,Scholastic Inc.,0.31,0,0,0.02,0.33
Goosebumps HorrorLand,Wii,2008,Adventure,Scholastic Inc.,0.16,0,0,0.01,0.17
Goosebumps HorrorLand,PS2,2008,Adventure,Scholastic Inc.,0.04,0.03,0,0.01,0.07
GoPets: Vacation Island,DS,2008,Simulation,Konami Digital Entertainment,0.03,0,0,0,0.04
Gothic 3,PC,2006,Role-Playing,JoWood Productions,0,0.05,0,0.01,0.06
Gothic Universe,PC,2007,Role-Playing,JoWood Productions,0,0.03,0,0.01,0.04
Gotouchi Kenkei DS,DS,2006,Misc,Spike,0,0,0.03,0,0.03
Gourmet Chef: Cook Your Way to Fame,DS,2008,Misc,Ubisoft,0.13,0,0,0.01,0.14
Gradius Collection,PSP,2006,Shooter,Konami Digital Entertainment,0.04,0,0.02,0,0.06
Gradius V,PS2,2004,Shooter,Konami Digital Entertainment,0.05,0.04,0,0.01,0.09
Graffiti Kingdom,PS2,2004,Role-Playing,505 Games,0.01,0.01,0,0,0.03
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2
Grand Theft Auto,GBA,2004,Action,Take-Two Interactive,0.17,0.06,0,0,0.24
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0,0.08,0.88
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,1.26,0.61,0,0.09,1.95
Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive,0,0.92,0,0.05,0.98
Grand Theft Auto: San Andreas,X360,2008,Action,Take-Two Interactive,0.08,0.03,0,0.01,0.12
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
Grand Theft Auto: Vice City Stories,PS2,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97
Grandia III,PS2,2005,Role-Playing,Square Enix,0.12,0.1,0.24,0.03,0.49
Greg Hastings' Tournament Paintball,XB,2004,Shooter,Activision,0.46,0.06,0,0.02,0.54
Greg Hastings' Tournament Paintball Max'd,DS,2006,Shooter,Activision,0.03,0,0,0,0.04
Greg Hastings' Tournament Paintball Max'd,GBA,2006,Shooter,Activision,0.02,0.01,0,0,0.03
Greg Hastings' Tournament Paintball Max'd,PS2,2006,Shooter,Activision,0.01,0,0,0,0.01
Gretzky NHL,PSP,2005,Sports,Sony Computer Entertainment,0.1,0,0,0.01,0.1
Gretzky NHL 06,PSP,2005,Sports,Sony Computer Entertainment,0.13,0,0,0.01,0.14
Gretzky NHL 06,PS2,2005,Sports,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14
Gretzky NHL 2005,PS2,2004,Sports,Sony Computer Entertainment,0.08,0.07,0,0.02,0.17
GRID,PS3,2008,Racing,Codemasters,0.31,0.57,0.03,0.2,1.11
GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.88
GrimGrimoire,PS2,2007,Strategy,Tecmo Koei,0.01,0.01,0.03,0,0.05
GripShift,PSP,2005,Racing,Ubisoft,0.08,0,0,0.01,0.09
Growlanser VI: Precarious World,PS2,2007,Role-Playing,Atlus,0,0,0.05,0,0.05
Growlanser: Heritage of War,PS2,2006,Role-Playing,Rising Star Games,0.11,0.08,0,0.03,0.22
Growlanser: Heritage of War (jp sales),PS2,2006,Role-Playing,Rising Star Games,0,0,0.05,0,0.05
GT Legends,PC,2005,Racing,Atari,0,0.02,0,0,0.02
GT Pro Series,Wii,2006,Racing,Ubisoft,0.46,0.01,0.02,0.04,0.52
GTR Evolution,PC,2008,Racing,Atari,0,0.02,0,0.01,0.03
Guess the Logos,XB,2004,Puzzle,Sega,0.02,0,0,0,0.02
Guild Wars,PC,2005,Role-Playing,NCSoft,0.02,0,0,0,0.03
Guild Wars Trilogy,PC,2005,Role-Playing,NCSoft,0,0.03,0,0.01,0.04
Guild Wars: Factions,PC,2006,Role-Playing,NCSoft,0,0.01,0,0,0.02
Guild Wars: Nightfall,PC,2006,Role-Playing,NCSoft,0,0.02,0,0.01,0.03
Guilty Gear Dust Strikers,DS,2006,Fighting,Majesco Entertainment,0.05,0,0,0,0.05
Guilty Gear Isuka,PS2,2004,Fighting,505 Games,0.05,0.04,0,0.01,0.1
Guilty Gear Judgment,PSP,2006,Fighting,Majesco Entertainment,0.13,0,0.02,0.01,0.16
Guilty Gear X2 #Reload,XB,2004,Fighting,Zoo Digital Publishing,0.11,0.03,0,0.01,0.15
Guilty Gear XX Accent Core,PS2,2007,Fighting,Unknown,0,0,0.04,0,0.04
Guilty Gear XX Accent Core,Wii,2007,Fighting,505 Games,0.03,0,0,0,0.04
Guilty Gear XX Accent Core Plus,PSP,2008,Fighting,PQube,0.03,0.01,0.04,0.01,0.08
Guilty Gear XX Accent Core Plus,PS2,2008,Fighting,PQube,0.03,0.02,0,0.01,0.06
Guilty Gear XX Slash,PS2,2006,Fighting,Sammy Corporation,0,0,0.08,0,0.08
Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0,0.11,1.04
Guinness World Records: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,0.47,0.01,0,0.04,0.52
Guitar Freaks & DrumMania: Masterpiece Gold,PS2,2007,Simulation,Konami Digital Entertainment,0,0,0.02,0,0.02
Guitar Freaks V & DrumMania V,PS2,2006,Simulation,Konami Digital Entertainment,0,0,0.03,0,0.03
Guitar Freaks V2 & DrumMania V2,PS2,2006,Simulation,Konami Digital Entertainment,0,0,0.02,0,0.02
Guitar Freaks V3 & DrumMania V3,PS2,2007,Simulation,Konami Digital Entertainment,0,0,0.02,0,0.02
Guitar Hero,PS2,2005,Misc,RedOctane,1.67,0.61,0.03,0.07,2.38
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,0.92,0.04,0,0.15,1.11
Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
Guitar Hero II,X360,2007,Misc,Activision,2.01,0.02,0,0.17,2.2
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.06,1.12,0,0.44,4.62
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.92,0.01,0.42,4.53
Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,1.4,0.54,0.02,0.3,2.26
Guitar Hero III: Legends of Rock,PC,2007,Misc,Aspyr,0.01,0,0,0,0.01
Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.04,0.14,0,0.1,1.29
Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1,0.14,0,0.1,1.23
Guitar Hero: Aerosmith,PS3,2008,Misc,Activision,0.73,0.15,0,0.11,0.99
Guitar Hero: Aerosmith,PS2,2008,Misc,Activision,0.61,0,0,0.18,0.79
Guitar Hero: On Tour,DS,2008,Misc,Activision,2.11,1.01,0.01,0.35,3.48
Guitar Hero: On Tour Decades,DS,2008,Misc,Activision,0.85,0.58,0,0.16,1.58
Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.33,0.97,0,0.35,3.65
Guitar Hero: World Tour,X360,2008,Misc,Activision,1.78,0.64,0,0.25,2.67
Guitar Hero: World Tour,PS3,2008,Misc,Activision,1.1,0.56,0,0.27,1.93
Guitar Hero: World Tour,PS2,2008,Misc,Activision,1,0.03,0,0.77,1.8
Guitar Rock Tour,DS,2007,Misc,Gameloft,0.1,0,0,0.01,0.11
Gumby vs. the Astrobots,GBA,2005,Action,Namco Bandai Games,0.03,0.01,0,0,0.04
Gun,PS2,2005,Shooter,Activision,0.98,0.04,0,0.16,1.17
Gun,XB,2005,Shooter,Activision,0.38,0.12,0,0.02,0.52
Gun,GC,2005,Shooter,Activision,0.14,0.04,0,0,0.18
Gun Showdown,PSP,2006,Action,Activision,0.05,0.01,0,0.01,0.06
Gundam Battle Chronicle,PSP,2007,Action,Namco Bandai Games,0,0,0.22,0,0.22
Gundam Battle Royale,PSP,2006,Action,Namco Bandai Games,0,0,0.12,0,0.12
Gundam Battle Tactics,PSP,2005,Action,Namco Bandai Games,0,0,0.07,0,0.07
Gundam Battle Universe,PSP,2008,Fighting,Namco Bandai Games,0,0,0.26,0,0.26
Gundam Seed: Battle Assault,GBA,2004,Fighting,Namco Bandai Games,0.06,0.02,0,0,0.08
Gundam SEED: Federation vs. Z.A.F.T.,PS2,2005,Shooter,Namco Bandai Games,0,0,0.44,0,0.44
Gungrave: Overdose,PS2,2004,Shooter,Play It,0.07,0.05,0,0.02,0.14
GunGriffon: Allied Strike,XB,2004,Simulation,Microsoft Game Studios,0.02,0.01,0,0,0.03
GunParade Orchestra: Ao no Shou,PS2,2006,Adventure,Sony Computer Entertainment,0,0,0.01,0,0.01
GunParade Orchestra: Midori no Shou,PS2,2006,Adventure,Sony Computer Entertainment,0,0,0.02,0,0.02
GunParade Orchestra: Shiro no Shou,PS2,2006,Adventure,Sony Computer Entertainment,0,0,0.07,0,0.07
GunPey,PSP,2006,Puzzle,Atari,0.05,0,0,0.01,0.06
GunPey DS,DS,2006,Puzzle,Atari,0.04,0,0,0,0.05
Gunstar Super Heroes,GBA,2005,Shooter,Sega,0.05,0.02,0,0,0.07
Gyakuten Saiban 3,GBA,2004,Adventure,Capcom,0,0,0.16,0,0.17
H2O+: Footprints in the Sand,PS2,2008,Adventure,Kadokawa Shoten,0,0,0.01,0,0.01
Hail to the Chimp,X360,2008,Misc,Gamecock,0.05,0,0,0,0.06
Hail to the Chimp,PS3,2008,Misc,Gamecock,0.05,0,0,0,0.05
Hajime no Ippo Portable: Victorious Spirits,PSP,2007,Fighting,Grand Prix Games,0,0,0.06,0,0.06
Hakuouki,PS2,2008,Adventure,Idea Factory,0,0,0.03,0,0.03
Half-Life 2,PC,2004,Shooter,Vivendi Games,2.28,0.02,0.08,0,2.37
Half-Life 2,XB,2005,Shooter,Electronic Arts,0.37,0.21,0,0.03,0.61
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
Halo 2,PC,2007,Shooter,Microsoft Game Studios,0.01,0.06,0,0.02,0.1
Halo 2 Multiplayer Map Pack,XB,2005,Shooter,Microsoft Game Studios,0.54,0.13,0,0.02,0.69
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
Halo Triple Pack,XB,2005,Shooter,Microsoft Game Studios,0.12,0.03,0,0.01,0.16
Hammerin' Hero,PSP,2008,Action,Irem Software Engineering,0.06,0,0,0.01,0.07
Hamster Heroes,Wii,2008,Puzzle,Popcorn Arcade,0.16,0,0,0,0.16
Hamsterz Life,DS,2006,Action,Ubisoft,0.43,0.01,0,0.04,0.47
Hamtaro: Ham-Ham Games,GBA,2004,Sports,Nintendo,0.16,0.06,0,0,0.22
Hanayori Danshi: Koi Seyo Onago,DS,2008,Adventure,Konami Digital Entertainment,0,0,0.04,0,0.04
Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,DS,2007,Misc,Namco Bandai Games,0,0,0.04,0,0.04
Haneru no Tobira Wii: Girigirissu,Wii,2007,Misc,Namco Bandai Games,0,0,0.02,0,0.02
Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0,0.26,2.65
Hannah Montana: Music Jam,DS,2007,Action,Disney Interactive Studios,1.06,0.37,0,0.15,1.58
Hannah Montana: Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios,0.87,0.38,0,0.13,1.39
Hannah Montana: Spotlight World Tour,PS2,2008,Action,Disney Interactive Studios,0.12,0.02,0,0.14,0.28
Hannspree Ten Kate Honda: SBK Superbike World Championship,PS2,2007,Racing,Black Bean Games,0.03,0.03,0,0.01,0.07
Hannspree Ten Kate Honda: SBK Superbike World Championship,PSP,2007,Racing,Black Bean Games,0.03,0,0,0,0.04
Happiness! De-Lucks,PS2,2007,Adventure,Marvelous Interactive,0,0,0.02,0,0.02
Happy Cooking,DS,2006,Simulation,Ubisoft,0.17,0,0,0.01,0.18
Happy Dance Collection,Wii,2008,Misc,Namco Bandai Games,0,0,0.01,0,0.01
Happy Feet,DS,2006,Action,Midway Games,0.27,0.01,0,0.02,0.31
Happy Feet,GC,2006,Action,Midway Games,0.2,0.05,0,0.01,0.25
Happy Feet,Wii,2006,Action,Midway Games,0.12,0,0,0.01,0.14
Hard Rock Casino,PSP,2007,Misc,Oxygen Interactive,0.12,0,0,0.01,0.14
Harlem Globetrotters: World Tour,DS,2006,Sports,Zoo Digital Publishing,0.07,0,0,0.01,0.07
Harry Potter and the Goblet of Fire,PS2,2005,Action,Electronic Arts,0.54,0.02,0,0.09,0.65
Harry Potter and the Goblet of Fire,GBA,2005,Action,Electronic Arts,0.44,0.16,0,0.01,0.61
Harry Potter and the Goblet of Fire,GC,2005,Action,Electronic Arts,0.32,0.08,0,0.01,0.42
Harry Potter and the Goblet of Fire,DS,2005,Action,Electronic Arts,0.21,0.02,0,0.02,0.24
Harry Potter and the Goblet of Fire,XB,2005,Action,Electronic Arts,0.18,0.05,0,0.01,0.23
Harry Potter and the Goblet of Fire,PSP,2005,Action,Electronic Arts,0.17,0.01,0,0.02,0.2
Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,0.28,0.47,0,0.1,0.85
Harry Potter and the Order of the Phoenix,Wii,2007,Action,Electronic Arts,0.38,0.06,0,0.04,0.49
Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts,0.1,0.17,0,0.1,0.37
Harry Potter and the Order of the Phoenix,X360,2007,Action,Electronic Arts,0.24,0.04,0,0.02,0.3
Harry Potter and the Order of the Phoenix,PS2,2007,Action,Electronic Arts,0.13,0.1,0,0.03,0.27
Harry Potter and the Order of the Phoenix,PS3,2007,Action,Electronic Arts,0.18,0.04,0,0.03,0.25
Harry Potter and the Order of the Phoenix,PC,2007,Action,Electronic Arts,0,0.03,0,0.01,0.04
Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,Electronic Arts,0.5,0.39,0,0.13,1.02
Harry Potter and the Prisoner of Azkaban,GBA,2004,Action,Electronic Arts,0.37,0.14,0,0.01,0.52
Harry Potter and the Prisoner of Azkaban,GC,2004,Action,Electronic Arts,0.29,0.08,0,0.01,0.38
Harry Potter and the Prisoner of Azkaban,XB,2004,Action,Electronic Arts,0.14,0.04,0,0.01,0.19
Harry Potter and the Prisoner of Azkaban,PC,2004,Action,Electronic Arts,0,0.03,0,0.01,0.04
Harry Potter Collection,PS2,2006,Misc,Electronic Arts,0.28,0.21,0,0.07,0.56
Harukanaru Toki no Naka de 3,PS2,2004,Adventure,Tecmo Koei,0,0,0.05,0,0.05
Harukanaru Toki no Naka de 4,PS2,2008,Adventure,Tecmo Koei,0,0,0.07,0,0.07
Harukanaru Toki no Naka de: Maihitoyo,PS2,2006,Adventure,Tecmo Koei,0,0,0.04,0,0.04
Harukanaru Toki no Naka de: Yumenoukihashi,DS,2008,Adventure,Tecmo Koei,0,0,0.05,0,0.05
Harvest Moon DS (jp sales),DS,2005,Simulation,Rising Star Games,0,0,0.13,0,0.13
Harvest Moon DS (US sales),DS,2005,Simulation,Rising Star Games,0.41,0.07,0,0,0.48
Harvest Moon DS Cute (jp sales),DS,2005,Simulation,Marvelous Interactive,0,0,0.1,0,0.1
Harvest Moon DS Cute (US sales),DS,2005,Simulation,Marvelous Interactive,0.3,0,0,0,0.3
Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,0.44,0.01,0.25,0.04,0.74
Harvest Moon: A Wonderful Life Special Edition,PS2,2004,Simulation,505 Games,0.09,0.07,0,0.02,0.18
Harvest Moon: Animal Parade,Wii,2008,Simulation,Rising Star Games,0.6,0.09,0.02,0.05,0.76
Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,Marvelous Interactive,0.19,0.05,0,0.01,0.24
Harvest Moon: Boy & Girl,PSP,2005,Simulation,Marvelous Interactive,0.08,0,0,0.01,0.09
Harvest Moon: Grand Bazaar,DS,2008,Simulation,Rising Star Games,0.22,0.05,0.13,0.02,0.42
Harvest Moon: Magical Melody,Wii,2008,Simulation,Rising Star Games,0.25,0.04,0,0.03,0.31
Harvest Moon: Magical Melody,GC,2005,Simulation,Ubisoft,0.19,0.05,0,0.01,0.24
Harvest Moon: Sunshine Islands,DS,2008,Simulation,Rising Star Games,0.35,0.03,0.17,0.03,0.58
Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,0.69,0.03,0.06,0.06,0.84
Harvey Birdman: Attorney at Law,PS2,2008,Adventure,Capcom,0.06,0.04,0,0.01,0.12
Harvey Birdman: Attorney at Law,PSP,2008,Adventure,Capcom,0.08,0,0,0.01,0.09
Harvey Birdman: Attorney at Law,Wii,2008,Adventure,Capcom,0.08,0,0,0.01,0.09
Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,0.97,0.34,0,0.13,1.45
Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,0.28,0.22,0,0.07,0.57
Haunting Ground,PS2,2005,Action,Capcom,0.03,0.03,0,0.01,0.07
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,DS,2008,Simulation,Konami Digital Entertainment,0,0,0.04,0,0.04
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Oyashiki-Hen,DS,2008,Simulation,Konami Digital Entertainment,0,0,0.03,0,0.03
Haze,PS3,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.15,1
Headhunter: Redemption,PS2,2004,Action,Sega,0.02,0.01,0,0,0.04
Headhunter: Redemption,XB,2004,Action,Sega,0.02,0,0,0,0.02
Heart no Kuni no Alice,PS2,2008,Adventure,Prototype,0,0,0.01,0,0.01
Heatseeker,Wii,2007,Action,Codemasters,0.08,0,0,0.01,0.1
Heatseeker,PSP,2007,Action,Codemasters,0.04,0,0,0,0.04
Heavenly Guardian,Wii,2007,Shooter,505 Games,0.06,0,0,0,0.07
Heavenly Sword,PS3,2007,Action,Sony Computer Entertainment,0.57,0.73,0.06,0.3,1.66
Heisei Kyouiku linkai DS,DS,2006,Misc,Namco Bandai Games,0,0,0.21,0,0.21
Hell's Kitchen: The Game,DS,2008,Simulation,Ubisoft,0.34,0.01,0,0.03,0.37
Hell's Kitchen: The Game,Wii,2008,Simulation,Ubisoft,0.3,0,0,0.03,0.33
Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,0.13,0.02,0,0.02,0.17
Hellboy: The Science of Evil,X360,2008,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11
Hellboy: The Science of Evil,PSP,2008,Action,Konami Digital Entertainment,0.04,0,0,0,0.04
Hellgate: London,PC,2007,Role-Playing,Electronic Arts,0,0.02,0,0,0.02
Hello Kitty Daily,DS,2008,Misc,Nobilis,0.32,0,0,0.03,0.35
Hello Kitty Party,DS,2007,Misc,Rising Star Games,0.79,0.53,0,0.13,1.44
Hello Kitty: Big City Dreams,DS,2008,Puzzle,Empire Interactive,0.42,0.08,0,0.04,0.54
Hello Kitty: Happy Party Pals,GBA,2005,Misc,THQ,0.12,0.05,0,0,0.17
Hello Kitty: Roller Rescue,GC,2005,Action,Empire Interactive,0.06,0.02,0,0,0.08
Hello Kitty: Roller Rescue,PC,2005,Action,Empire Interactive,0,0.03,0,0,0.04
Help Wanted: 50 Wacky Jobs,Wii,2008,Simulation,Hudson Soft,0.06,0.04,0,0.01,0.11
Help Wanted: 50 Wacky Jobs (jp sales),Wii,2008,Simulation,Hudson Soft,0,0.01,0.01,0,0.01
Herbie: Fully Loaded,GBA,2005,Racing,Disney Interactive Studios,0.24,0.09,0,0.01,0.34
Hero's Saga Laevatein Tactics,DS,2008,Role-Playing,GungHo,0.13,0,0,0.01,0.14
Heroes of Mana,DS,2007,Strategy,Square Enix,0.08,0.01,0.05,0.01,0.15
Heroes of Might and Magic V,PC,2006,Strategy,Ubisoft,0,0.03,0,0.01,0.04
Heroes of the Pacific,PS2,2005,Simulation,Codemasters,0.14,0.11,0,0.04,0.29
Heroes of the Pacific,XB,2005,Simulation,Codemasters,0.1,0.03,0,0,0.13
Heroes of the Pacific,PC,2005,Simulation,Codemasters,0,0.02,0,0,0.02
Hi Hi Puffy AmiYumi: Kaznapped,GBA,2005,Action,D3Publisher,0.04,0.02,0,0,0.06
Hi Hi Puffy AmiYumi: The Genie & the Amp,DS,2006,Action,D3Publisher,0.01,0,0,0,0.01
"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",DS,2005,Misc,505 Games,0.07,0,0,0,0.07
High Rollers Casino,PS2,2004,Misc,Mud Duck Productions,0.2,0.16,0,0.05,0.42
High Rollers Casino,XB,2004,Misc,Mud Duck Productions,0.1,0.03,0,0,0.13
High School Musical 2: Work This Out!,DS,2008,Misc,Disney Interactive Studios,0.5,0.52,0,0.13,1.15
High School Musical 3: Senior Year,DS,2008,Misc,Disney Interactive Studios,0.64,0.76,0,0.17,1.58
