Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
DS,2008,Puzzle,DTP Entertainment,0,0.03,0,0,0.03,,,,,,
PSP,2007,Racing,Sega,0.1,0.22,0.02,0.12,0.47,64,25,7.1,18,Sega,E10+
XB,2005,Action,Konami Digital Entertainment,0.04,0.01,0,0,0.05,30,19,3.4,9,Hothouse Creations,M
PSP,2008,Role-Playing,Sega,0.06,0,0,0,0.06,78,20,7.5,30,"IronNos Co.,Ltd.",T
PS2,2004,Action,Tecmo Koei,0.03,0.03,0,0.01,0.07,75,27,8.3,6,Koei,T
PS2,2004,Role-Playing,Capcom,0.02,0.01,0,0,0.03,62,30,7.8,4,DreamFactory,T
PSP,2007,Role-Playing,Square Enix,1.35,0.59,0.8,0.43,3.18,83,67,8,463,Square Enix,T
PS3,2008,Role-Playing,Nippon Ichi Software,0.14,0.02,0.05,0.02,0.23,52,32,7.2,82,Compile Heart,T
DS,2008,Puzzle,Deep Silver,0.5,0,0,0.04,0.55,67,19,6.8,6,Nuevo Retro Games,E
Wii,2007,Racing,Midway Games,0.1,0.01,0,0.01,0.12,25,7,3.7,18,Midway Studios - San Diego,E
PSP,2007,Puzzle,Sega,0.07,0,0,0.01,0.08,83,41,9,21,Zoe Mode,E10+
GBA,2004,Sports,Summitsoft,0.03,0.01,0,0,0.04,,,tbd,,Griptonite Games,E
PC,2007,Shooter,Electronic Arts,0,0.69,0,0.02,0.71,91,56,8,1970,Crytek,M
PC,2008,Shooter,Electronic Arts,0,0.02,0,0,0.02,84,56,7.9,516,Crytek,M
PS2,2007,Adventure,Ubisoft,0.07,0.06,0,0.02,0.14,,,tbd,,Ubisoft Bulgaria,M
XB,2004,Adventure,Ubisoft,0.09,0.03,0,0,0.12,45,14,7.3,4,369 Interactive,M
DS,2007,Adventure,Ubisoft,0.05,0.01,0,0.01,0.07,,,6.7,6,Powerhead Games,T
Wii,2008,Adventure,Ubisoft,0.36,0.43,0,0.1,0.89,,,,,,
X360,2007,Adventure,Ubisoft,0.07,0.02,0,0.01,0.1,,,,,,
PSP,2007,Puzzle,D3Publisher,0.02,0,0,0,0.02,60,18,tbd,,Metia Interactive,E
DS,2008,Strategy,Sega,0,0,0.1,0,0.1,,,,,,
X360,2006,Role-Playing,Namco Bandai Games,0.12,0,0.03,0.01,0.16,75,33,8.7,49,"Omiya Soft, Jamsworks",T
GBA,2006,Action,Namco Bandai Games,0.12,0.04,0,0,0.16,65,5,tbd,,Torus Games,E
GC,2006,Action,Namco Bandai Games,0.11,0.03,0,0,0.15,,,,,,
PS2,2006,Action,Namco Bandai Games,0.06,0.05,0,0.02,0.12,53,13,7.7,6,Monkey Bar Games,E
XB,2006,Action,Namco Bandai Games,0.02,0.01,0,0,0.03,57,11,tbd,,Monkey Bar Games,E
DS,2008,Fighting,Namco Bandai Games,0,0,0.03,0,0.03,,,,,,
GC,2004,Role-Playing,Nintendo,0.29,0.07,0,0.01,0.37,65,31,8.1,27,Noise Inc.,T
DS,2006,Fighting,Nintendo,0.01,0.02,0.12,0,0.16,74,22,8.3,27,Noise Inc.,E10+
PS2,2004,Action,Konami Digital Entertainment,0.02,0.01,0,0,0.04,53,28,8.8,4,KCEJ,M
PS2,2008,Adventure,Kadokawa Shoten,0,0,0.06,0,0.06,,,,,,
PS2,2005,Adventure,Kadokawa Shoten,0,0,0.04,0,0.04,,,,,,
DS,2007,Adventure,Konami Digital Entertainment,0,0,0.05,0,0.05,,,,,,
PS2,2008,Adventure,Konami Digital Entertainment,0,0,0.02,0,0.02,,,,,,
PS2,2005,Racing,Yuke's,0.01,0.01,0,0,0.03,45,14,tbd,,Yuke's,E10+
PS2,2005,Strategy,Banpresto,0,0,0.59,0,0.59,,,,,,
DS,2004,Misc,Nintendo,0,0,0.19,0,0.19,,,,,,
Wii,2008,Fighting,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
PS2,2008,Misc,Paon,0,0,0.01,0,0.01,,,,,,
PS2,2006,Misc,Daito,0,0,0.11,0,0.11,,,,,,
DS,2007,Misc,Paon,0,0,0.1,0,0.1,,,,,,
PSP,2006,Misc,Daito,0,0,0.06,0,0.06,,,,,,
PS2,2007,Misc,Paon,0,0,0.04,0,0.04,,,,,,
PS2,2008,Misc,Paon,0,0,0.06,0,0.06,,,,,,
PSP,2006,Misc,Daito,0,0,0.03,0,0.03,,,,,,
PS2,2006,Misc,Daito,0,0,0.03,0,0.03,,,,,,
PS2,2004,Simulation,Konami Digital Entertainment,1.04,0.81,0,0.27,2.13,77,26,9,20,KCET,E
PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0,0.16,1.14,76,27,9,21,Konami Computer Entertainment Hawaii,E10+
PS2,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0,0.14,1.04,73,25,8.7,6,Konami,E10+
PS2,2007,Simulation,Konami Digital Entertainment,0.64,0.03,0.02,0.1,0.79,70,10,tbd,,Konami,E10+
XB,2004,Simulation,Konami Digital Entertainment,0.32,0.09,0,0.02,0.42,78,16,7.1,7,Konami Computer Entertainment Hawaii,E
XB,2005,Simulation,Konami Digital Entertainment,0.28,0.08,0,0.01,0.38,75,16,8.6,8,Konami,E10+
X360,2007,Simulation,Konami Digital Entertainment,0.3,0,0,0.02,0.32,74,26,8.8,5,Konami,E10+
X360,2007,Simulation,Konami Digital Entertainment,0.46,0,0,0.04,0.5,65,10,7.4,5,Konami,E10+
X360,2008,Simulation,Konami Digital Entertainment,0.28,0,0,0.02,0.3,65,6,7.7,7,Konami,E
PS2,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75,55,6,6.2,6,Konami,E10+
PS2,2008,Simulation,Konami Digital Entertainment,0.12,0.09,0,0.03,0.24,61,9,tbd,,Keen Games,E
Wii,2007,Simulation,Konami Digital Entertainment,1.35,0.52,0,0.19,2.07,73,16,7.1,27,Konami,E10+
Wii,2008,Simulation,Konami Digital Entertainment,0.94,0.48,0.01,0.15,1.58,69,8,6.8,6,Konami,E10+
GC,2005,Misc,Nintendo,0.36,0.09,0,0.01,0.47,69,28,8.4,19,Hudson,E
GC,2005,Simulation,Nintendo,0,0,0.05,0,0.06,,,,,,
PS2,2006,Action,Codemasters,0.02,0.01,0,0,0.03,56,22,5.8,8,Broadsword Interactive,E
Wii,2007,Misc,Activision,0.22,0,0,0.02,0.24,42,5,6.2,5,Zoe Mode,E10+
PS2,2007,Misc,Activision,0.08,0.06,0,0.02,0.16,,,tbd,,Zoe Mode,E10+
DS,2008,Misc,Activision,0.36,0,0,0.03,0.39,,,,,,
Wii,2008,Misc,Activision,0.35,0,0,0.03,0.38,,,,,,
GBA,2005,Action,THQ,0.16,0.06,0,0,0.22,,,8.8,4,Altron,E
DS,2006,Action,THQ,0.04,0,0,0,0.04,,,,,,
X360,2008,Role-Playing,Ubisoft,0.16,0.02,0.01,0.02,0.2,52,27,7,48,Ubisoft Annecy,M
X360,2008,Shooter,D3Publisher,0.22,0.2,0.01,0.05,0.48,72,71,7.5,147,Digital Extremes,M
PS3,2008,Shooter,D3Publisher,0.23,0.16,0.01,0.07,0.47,72,47,7.6,70,Digital Extremes,M
PSP,2004,Fighting,Capcom,0.13,0,0,0.01,0.15,74,27,7.9,25,Capcom,T
PC,2006,Simulation,Ubisoft,0,0.03,0,0.01,0.03,71,33,7.2,54,Ascaron Entertainment GmbH,T
PS2,2005,Shooter,Ubisoft,0.16,0.12,0,0.04,0.32,74,37,8.4,42,High Moon Studios,M
XB,2005,Shooter,Ubisoft,0.16,0.05,0,0.01,0.21,75,43,8.1,21,High Moon Studios,M
PSP,2006,Sports,Oxygen Interactive,0.06,0,0,0.01,0.07,32,11,4.6,10,Left Field Productions,E
Wii,2007,Sports,505 Games,0.06,0,0,0.01,0.07,36,5,tbd,,Left Field Productions,E
PS2,2006,Role-Playing,Square Enix,0.07,0.05,0.29,0.02,0.43,57,27,6.8,11,Square Enix,T
PSP,2006,Platform,Sony Computer Entertainment,2.45,1.01,0,0.75,4.21,85,59,8.7,109,Ready at Dawn,E10+
Wii,2008,Platform,THQ,0.49,0.37,0,0.1,0.96,82,48,8.6,73,Blue Tongue Entertainment,E
PSP,2007,Action,D3Publisher,0.04,0,0,0,0.04,75,30,7.3,23,Vicious Cycle,M
XB,2004,Shooter,Atari,0.09,0.02,0,0,0.11,62,31,8.1,9,Human Head Studios,T
X360,2005,Fighting,Tecmo Koei,0.3,0.03,0.1,0.03,0.47,85,76,8.2,223,Team Ninja,M
XB,2004,Fighting,Tecmo Koei,0.3,0.1,0.08,0.02,0.5,83,64,8.7,25,Team Ninja,M
X360,2006,Sports,Tecmo Koei,0.15,0.02,0.06,0.02,0.25,53,46,6.7,42,Team Ninja,M
X360,2006,Action,Capcom,1.16,0.64,0.08,0.2,2.08,85,82,7.6,520,Capcom,M
PS3,2008,Action,Electronic Arts,1.05,0.66,0,0.29,2,88,67,8.8,545,EA Redwood Shores,M
X360,2008,Action,Electronic Arts,0.89,0.39,0,0.13,1.4,89,79,8.7,768,EA Redwood Shores,M
PC,2008,Action,Electronic Arts,0,0.53,0,0.06,0.59,86,28,8,1093,EA Redwood Shores,M
GBA,2004,Shooter,Zoo Digital Publishing,0.01,0,0,0,0.02,40,5,tbd,,Torus Games,T
PS2,2005,Shooter,Electronic Arts,0.1,0.08,0,0.03,0.2,51,32,5.3,7,WideScreen Games,M
XB,2005,Shooter,Electronic Arts,0.08,0.02,0,0,0.11,54,35,7.4,5,Namco,M
PSP,2005,Shooter,Electronic Arts,0.12,0,0,0.01,0.13,54,26,7.2,22,Rebellion,M
X360,2008,Sports,Navarre Corp,0.04,0,0,0,0.05,56,14,5.9,15,Liquid Dragon Studios,T
DS,2007,Misc,Mindscape,1.15,0.4,0,0.15,1.7,20,13,1.9,41,Artefacts Studio,E
PC,2006,Misc,Focus Home Interactive,0,0.01,0,0,0.01,,,7.5,8,Global Star Software,E
DS,2008,Misc,Mindscape,0,0.2,0,0,0.2,,,,,,
PS2,2005,Action,Sony Computer Entertainment,0.05,0.04,0,0.01,0.1,51,45,6.2,24,Namco,M
PSP,2005,Platform,Konami Digital Entertainment,0.17,0,0,0.01,0.19,61,40,7.3,21,Backbone Entertainment,T
DS,2007,Platform,Konami Digital Entertainment,0.08,0,0,0.01,0.08,47,23,7.5,6,Foundation 9 Entertainment,E10+
PSP,2006,Platform,Konami Digital Entertainment,0.05,0,0,0,0.05,68,34,7.3,9,Backbone Entertainment,T
Wii,2008,Platform,Eidos Interactive,0.1,0,0,0.01,0.11,71,14,8.1,14,Backbone Entertainment,T
DS,2007,Adventure,Konami Digital Entertainment,0,0,0.12,0,0.12,,,,,,
DS,2007,Adventure,Konami Digital Entertainment,0,0,0.02,0,0.02,,,,,,
Wii,2008,Sports,Konami Digital Entertainment,1.11,0.85,0.29,0.25,2.5,50,23,5.4,16,CAProduction,E
DS,2006,Action,505 Games,0.06,0,0,0,0.07,57,18,8.8,4,Interactive Brains,E10+
PSP,2006,Action,Electronic Arts,0.08,0,0,0.01,0.09,79,25,8.2,16,Aki Corp.,M
PS3,2007,Action,Electronic Arts,0.16,0.19,0,0.08,0.42,68,38,4.4,40,EA Chicago,M
X360,2007,Action,Electronic Arts,0.3,0.01,0,0.03,0.34,69,48,6.3,108,EA Chicago,M
PS2,2004,Fighting,Electronic Arts,0.86,0.67,0,0.22,1.76,83,46,8.9,73,Aki Corp.,M
GC,2004,Fighting,Electronic Arts,0.17,0.05,0,0.01,0.22,,,,,,
Wii,2008,Strategy,Zushi Games,0.05,0,0,0,0.05,,,,,,
DS,2008,Strategy,Zushi Games,0.02,0,0,0,0.02,,,,,,
PS2,2005,Shooter,NovaLogic,0.22,0.17,0,0.06,0.46,58,25,8.8,51,Rebellion,T
XB,2005,Shooter,NovaLogic,0.25,0.07,0,0.01,0.34,61,37,6.6,19,Climax Group,T
DS,2007,Shooter,SouthPeak Games,0.15,0.01,0,0.01,0.17,72,48,7.9,37,Renegade Kid,M
GBA,2004,Platform,Nintendo,0,0,0.23,0.01,0.24,,,,,,
DS,2006,Platform,Nintendo,0,0,0.17,0,0.17,,,,,,
Wii,2007,Simulation,Taito,0,0,0.02,0,0.02,,,,,,
PS2,2004,Sports,Enterbrain,0,0,0.55,0,0.55,,,,,,
DS,2008,Sports,Enterbrain,0,0,0.32,0,0.32,,,,,,
PSP,2006,Sports,Enterbrain,0,0,0.1,0,0.1,,,,,,
PSP,2006,Sports,Sony Computer Entertainment,0,0,0.03,0,0.03,,,,,,
PS2,2006,Sports,Sega,0,0,0.04,0,0.04,,,,,,
PS2,2005,Shooter,THQ,0.78,0.03,0,0.13,0.94,,,,,,
XB,2005,Shooter,THQ,0.34,0.11,0,0.02,0.46,,,,,,
PS2,2006,Action,THQ,0.4,0.02,0,0.07,0.48,,,,,,
Wii,2008,Action,THQ,0.12,0,0,0.01,0.13,,,,,,
X360,2008,Action,THQ,0.08,0.04,0,0.01,0.13,,,,,,
PS2,2004,Racing,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,57,27,7.8,14,Studio 33,T
PS2,2005,Action,Capcom,0.03,0.03,0.18,0.01,0.25,64,27,7.4,12,Capcom,T
PS2,2005,Action,Capcom,0.99,0.63,0.29,0.19,2.09,84,60,9,212,Capcom,M
PS2,2006,Action,Capcom,1.06,0.82,0.05,0.28,2.21,,,,,,
PS3,2008,Action,Capcom,0.58,0.45,0.34,0.2,1.57,84,63,8.2,311,Capcom,M
X360,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.34,84,61,8,248,Capcom,M
PC,2008,Action,Capcom,0.01,0.02,0,0.01,0.04,78,21,8.5,353,Capcom,M
Wii,2007,Platform,Konami Digital Entertainment,0.14,0,0.01,0.01,0.16,67,29,6.3,15,Konami,E
DS,2008,Misc,Konami Digital Entertainment,0.01,0,0,0,0.01,,,tbd,,Konami,E
PS2,2005,Shooter,Namco Bandai Games,0.01,0.01,0,0,0.03,48,15,tbd,,Natsume,E10+
DS,2007,Racing,Nintendo,1.09,0.03,0,0.09,1.22,63,39,7.5,27,Rare Ltd.,E
DS,2005,Puzzle,Atari,0.05,0,0,0,0.06,65,24,tbd,,Bullets,E
DS,2008,Role-Playing,Game Factory,0.06,0,0,0,0.06,,,tbd,,Mystic Software,E
GBA,2004,Racing,Namco Bandai Games,0.09,0.03,0,0,0.13,62,10,tbd,,Griptonite Games,E
PS2,2004,Fighting,Atari,0.05,0.04,0,0.01,0.09,63,9,7.3,23,Black Ship Games,T
GC,2004,Fighting,Atari,0.03,0.01,0,0,0.04,71,5,8.1,7,Black Ship Games,T
XB,2004,Fighting,Atari,0.01,0,0,0,0.02,65,8,8.8,4,Black Ship Games,T
PS2,2005,Role-Playing,Atari,0.08,0.06,0,0.02,0.15,48,7,6.9,37,Bandai,E
GC,2005,Role-Playing,Namco Bandai Games,0.07,0.02,0,0,0.09,55,4,8.1,19,Bandai,E
XB,2005,Role-Playing,Atari,0.02,0.01,0,0,0.03,54,5,8.8,4,Bandai,E
DS,2008,Role-Playing,Namco Bandai Games,0,0,0.07,0,0.07,49,6,6.5,13,Epics,E
DS,2006,Role-Playing,Namco Bandai Games,0.09,0,0,0.01,0.1,71,8,7.6,27,Bec,E10+
DS,2006,Role-Playing,Namco Bandai Games,0,0,0.23,0,0.23,,,,,,
PS2,2006,Role-Playing,Namco Bandai Games,0.12,0.09,0,0.03,0.24,43,12,8,20,Bec,E10+
DS,2007,Role-Playing,Namco Bandai Games,0.12,0,0.18,0.01,0.31,,,,,,
DS,2007,Puzzle,Eidos Interactive,0.33,0.02,0,0.03,0.38,,,,,,
PSP,2007,Puzzle,Eidos Interactive,0.11,0,0,0.01,0.12,,,,,,
DS,2005,Strategy,Majesco Entertainment,0.06,0,0,0,0.07,,,,,,
DS,2007,Strategy,Sega,0.2,0,0,0.02,0.22,61,13,8,9,Climax Entertainment,E
PS2,2006,Shooter,Square Enix,0.47,0.37,0.52,0.12,1.48,57,51,6.9,103,Square Enix,T
PS3,2007,Racing,Codemasters,0.16,0.66,0,0.23,1.05,83,32,8,32,Codemasters,E
X360,2007,Racing,Codemasters,0.38,0.4,0,0.09,0.87,83,59,7.4,94,Codemasters,E
PC,2007,Racing,Codemasters,0,0.02,0,0,0.02,84,20,7.3,91,Codemasters,E
Wii,2008,Action,Nintendo,0,0.02,0.04,0,0.07,69,21,,,Monolith Soft,
DS,2008,Simulation,505 Games,0.2,0,0,0.01,0.22,,,tbd,,505 Games,E
PS2,2006,Role-Playing,Tecmo Koei,0.09,0.07,0.15,0.02,0.33,84,54,6.4,42,Nippon Ichi Software,T
PS3,2008,Role-Playing,Square Enix,0.33,0.03,0.11,0.04,0.52,78,51,7.5,150,Nippon Ichi Software,T
DS,2008,Role-Playing,Square Enix,0.11,0.01,0.05,0.01,0.18,82,32,7.5,35,Nippon Ichi Software,T
PSP,2006,Role-Playing,Tecmo Koei,0.15,0.01,0.04,0.02,0.23,87,37,8.2,69,Nippon Ichi Software,T
GBA,2004,Misc,N/A,0.08,0.03,0,0,0.11,,,,,,
DS,2008,Adventure,Disney Interactive Studios,0.85,0.51,0.01,0.15,1.51,,,7.8,5,"Genius Sonority Inc., Disney Interactive Studios",E
DS,2007,Simulation,Disney Interactive Studios,0.12,0.03,0,0.01,0.16,,,7.3,4,"Amaze Entertainment, Walt Disney Japan",E
Wii,2007,Adventure,Disney Interactive Studios,1.22,0.03,0,0.09,1.35,,,4.3,4,Papaya Studios,E
PS2,2007,Adventure,Disney Interactive Studios,0.11,0.09,0,0.03,0.23,,,tbd,,Papaya Studios,E
DS,2007,Adventure,Disney Interactive Studios,1.12,0.19,0,0.11,1.43,,,tbd,,1st Playable Productions,E
Wii,2008,Misc,Disney Interactive Studios,0.77,0.31,0,0.11,1.19,,,tbd,,Zoe Mode,E
PS2,2008,Misc,Disney Interactive Studios,0.25,0.19,0,0.06,0.5,,,tbd,,Zoe Mode,E
X360,2008,Misc,Disney Interactive Studios,0.39,0.01,0,0.03,0.43,53,10,5.2,6,Zoe Mode,E
PS3,2008,Misc,Disney Interactive Studios,0.28,0.06,0,0.04,0.37,54,11,3.5,6,Zoe Mode,E
Wii,2008,Misc,Disney Interactive Studios,0.31,0.23,0,0.04,0.58,,,,,,
PS2,2008,Misc,Disney Interactive Studios,0.09,0.02,0,0.34,0.45,,,,,,
PS3,2008,Misc,Disney Interactive Studios,0.08,0.26,0,0.06,0.4,,,,,,
Wii,2008,Misc,Disney Interactive Studios,0.37,0.16,0.01,0.06,0.6,,,,,,
PS2,2008,Misc,Disney Interactive Studios,0.08,0.06,0,0.02,0.17,,,,,,
DS,2006,Action,Disney Interactive Studios,0.15,0,0,0.01,0.16,,,tbd,,WayForward,E
GBA,2005,Platform,Disney Interactive Studios,0.5,0.18,0,0.01,0.7,71,6,tbd,,Artificial Mind and Movement,E
PS2,2005,Platform,Disney Interactive Studios,0.32,0.25,0,0.08,0.65,60,20,8.9,7,Avalanche Software,E10+
GC,2005,Platform,Disney Interactive Studios,0.21,0.05,0,0.01,0.27,67,12,tbd,,Avalanche Software,E10+
XB,2005,Platform,Disney Interactive Studios,0.1,0.03,0,0,0.14,68,15,tbd,,Avalanche Software,E10+
DS,2006,Shooter,Disney Interactive Studios,0.06,0,0,0,0.06,66,13,tbd,,DC Studios,E
GBA,2004,Action,Disney Interactive Studios,0.12,0.04,0,0,0.17,65,4,tbd,,Artificial Mind and Movement,E
GBA,2004,Platform,Disney Interactive Studios,0.47,0.17,0,0.01,0.66,77,8,tbd,,Artificial Mind and Movement,E
GBA,2005,Platform,Disney Interactive Studios,0.33,0.12,0,0.01,0.46,76,6,7.7,6,Artificial Mind and Movement,E
DS,2007,Platform,Disney Interactive Studios,0.05,0.01,0,0,0.06,70,5,tbd,,Artificial Mind and Movement,E
DS,2005,Platform,Disney Interactive Studios,0.11,0.01,0,0.01,0.13,61,14,7.5,4,Artificial Mind and Movement,E
Wii,2007,Action,Disney Interactive Studios,0.17,0,0,0.01,0.19,62,11,6.3,4,Buena Vista Games,E10+
X360,2007,Action,Disney Interactive Studios,0.07,0,0,0.01,0.08,65,21,tbd,,Buena Vista Games,E10+
GC,2007,Action,Disney Interactive Studios,0.03,0.01,0,0,0.04,68,5,tbd,,Avalanche Software,E10+
DS,2007,Action,Disney Interactive Studios,0.02,0,0,0,0.02,64,6,tbd,,"Climax Group, Climax Studios",E10+
DS,2006,Action,Disney Interactive Studios,0.72,0.03,0,0.06,0.8,,,7,4,Gorilla Systems,E
GBA,2005,Platform,Ubisoft,0.09,0.03,0,0,0.13,,,,,,
PS2,2005,Platform,Ubisoft,0.06,0.05,0,0.02,0.13,,,tbd,,Phoenix Games Studio,E
GC,2005,Platform,Ubisoft,0.05,0.01,0,0,0.07,,,,,,
PSP,2008,Fighting,Square Enix,0.51,0.5,0.91,0.31,2.23,79,61,8,139,Square Enix,T
GBA,2005,Platform,Nintendo,0.17,0.06,0,0,0.24,70,30,5,6,Paon Corporation,E
GBA,2004,Simulation,Ubisoft,0.45,0.17,0,0.01,0.63,,,,,,
DS,2006,Simulation,Ubisoft,0.5,0.01,0,0.04,0.56,,,7.8,9,MTO,E
DS,2008,Role-Playing,Sting,0.05,0,0,0,0.05,60,16,7,8,Suzak,E10+
Wii,2008,Role-Playing,Sting,0.12,0,0,0.01,0.13,73,11,8.3,17,Sting,E10+
PS2,2007,Role-Playing,Sting,0.05,0.04,0.02,0.01,0.11,61,8,6.5,8,Sting,E10+
DS,2007,Adventure,SNK Playmore,0,0,0.05,0,0.05,,,,,,
DS,2008,Adventure,SNK Playmore,0,0,0.03,0,0.03,,,,,,
PSP,2004,Misc,Sony Computer Entertainment,0,0,0.1,0,0.1,,,,,,
PSP,2006,Misc,Sony Computer Entertainment,0,0,0.04,0,0.04,,,,,,
PS2,2005,Action,Take-Two Interactive,1.3,0.23,0,0.07,1.6,,,,,,
Wii,2007,Action,Nordcurrent,0.05,0,0,0,0.05,57,4,tbd,,RED Entertainment,E
X360,2008,Sports,Take-Two Interactive,0.14,0.08,0,0.02,0.25,56,45,6.4,29,Venom Games,T
Wii,2007,Racing,Nintendo,0.19,0.26,0.11,0.06,0.62,46,34,6.8,26,Paon Corporation,E
GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,80,22,9.1,37,Rare Ltd.,E
GBA,2005,Platform,Nintendo,0.45,0.17,0.14,0.01,0.77,77,16,8.4,27,Rare Ltd.,E
GC,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,80,49,8.3,30,Nintendo,E10+
Wii,2008,Platform,Nintendo,0,0.01,0,0,0.01,,,,,,
DS,2007,Platform,Nintendo,0.25,0.03,0.24,0.03,0.55,,,,,,
GC,2004,Misc,Nintendo,0.3,0.08,0,0.01,0.39,69,30,6,9,Namco,T
DS,2008,Puzzle,Pinnacle,0,0.03,0,0,0.03,68,14,,,Tragnarion Studios,
XB,2005,Shooter,Activision,0.85,0.43,0,0.06,1.34,88,71,7.4,116,Vicarious Visions,M
PC,2004,Shooter,Activision,0.05,0.04,0,0.01,0.1,87,83,7.6,896,id Software,M
XB,2005,Shooter,Activision,0.53,0.15,0,0.03,0.71,77,41,7.9,16,"id Software, Nerve Software",M
DS,2007,Platform,Take-Two Interactive,0.97,0.01,0,0.07,1.05,44,5,tbd,,Black Lantern Studios,E
PS2,2008,Platform,Take-Two Interactive,0.06,0.05,0,0.02,0.12,,,tbd,,Take-Two Interactive,E
Wii,2008,Platform,Take-Two Interactive,0.49,0.02,0,0.04,0.55,47,4,7,5,High Voltage Software,E
DS,2008,Platform,Take-Two Interactive,0.26,0.15,0,0.03,0.45,,,,,,
PS2,2008,Platform,Take-Two Interactive,0.19,0.15,0,0.05,0.38,,,tbd,,High Voltage Software,E
GBA,2004,Misc,N/A,0.18,0.07,0,0,0.26,,,,,,
PS2,2005,Adventure,Global Star,0.12,0.09,0,0.03,0.24,,,7,4,Take-Two Interactive,EC
GC,2005,Adventure,Global Star,0.09,0.02,0,0,0.12,,,tbd,,Take-Two Interactive,EC
GBA,2004,Platform,Gotham Games,0.44,0.16,0,0.01,0.61,,,8,5,Cinegroupe,E
GBA,2004,Adventure,Game Factory,0.17,0.06,0,0,0.24,,,,,,
DS,2007,Sports,Namco Bandai Games,0,0,0.21,0,0.21,,,,,,
Wii,2007,Misc,Sega,0,0,0.01,0,0.01,,,,,,
DS,2006,Role-Playing,Sega,0,0,0.05,0,0.05,,,,,,
DS,2007,Role-Playing,Sega,0,0,0.07,0,0.07,,,,,,
DS,2008,Platform,Sega,0,0,0.09,0,0.09,,,,,,
XB,2006,Action,THQ,0.31,0.09,0,0.01,0.42,,,,,,
DS,2008,Puzzle,Zoo Digital Publishing,0.01,0,0,0,0.01,37,4,tbd,,Next Wave Team,E
DS,2007,Racing,Zoo Digital Publishing,0.03,0,0,0,0.04,,,,,,
PSP,2008,Action,Atari,0.03,0,0,0,0.03,,,,,,
GBA,2005,Puzzle,Nintendo,0.12,0.04,0.16,0.01,0.33,74,14,tbd,,Intelligent Systems,E
DS,2007,Action,CokeM Interactive,0.29,0,0,0.02,0.31,,,,,,
DS,2008,Adventure,Namco Bandai Games,0,0,0.01,0,0.01,,,,,,
DS,2007,Fighting,505 Games,0.09,0,0,0.01,0.1,71,23,7.5,4,Dimps Corporation,E10+
DS,2007,Fighting,505 Games,0,0,0.04,0,0.04,,,,,,
GBA,2004,Misc,N/A,0.12,0.05,0,0,0.17,,,,,,
GBA,2005,Action,Atari,0.2,0.08,0,0.01,0.28,69,12,8.2,26,Webfoot Technologies,E10+
GC,2004,Fighting,Atari,0.21,0.06,0,0.01,0.27,66,9,5.8,12,Pyramid,T
PS2,2004,Fighting,Atari,1.09,0.15,0.65,0.04,1.94,77,32,8.9,137,Dimps Corporation,T
PS2,2005,Fighting,Atari,0.96,0.12,0.54,0.04,1.66,72,29,8.4,71,Spike,T
PS2,2006,Fighting,Atari,0.66,0.02,0,0.11,0.79,73,31,8.6,61,Spike,T
Wii,2006,Fighting,Atari,0.24,0.03,0,0.02,0.28,72,37,8.5,40,Spike,T
PS2,2007,Fighting,Atari,1.15,0,0.76,1.09,3,73,24,9.2,173,"Spike, Namco Bandai Games",T
Wii,2007,Fighting,Atari,0.32,0.36,0.26,0.09,1.02,72,27,8.4,61,"Spike, Namco Bandai Games",T
PS3,2008,Fighting,Atari,0.22,0.33,0.18,0.12,0.85,71,32,7.2,51,"Dimps Corporation, Namco Bandai Games",T
X360,2008,Fighting,Atari,0.24,0.18,0.03,0.05,0.49,72,50,7.6,41,"Dimps Corporation, Namco Bandai Games",T
GBA,2004,Action,Atari,0.44,0.16,0,0.01,0.61,62,19,8.9,39,Webfoot Technologies,E
GBA,2006,Action,Atari,0.01,0.01,0,0,0.02,,,,,,
DS,2007,Role-Playing,Namco Bandai Games,0.19,0,0,0.02,0.2,57,16,6.2,10,Bec,E
DS,2007,Role-Playing,Namco Bandai Games,0,0,0.15,0,0.15,,,,,,
PS2,2008,Fighting,Namco Bandai Games,0.08,0.06,0.21,0.02,0.36,48,17,7.9,37,Dimps Corporation,T
PS2,2005,Fighting,Atari,0.38,0.01,0,0.06,0.46,49,13,5.4,29,Avalanche Software,T
XB,2005,Fighting,Atari,0.18,0.05,0,0.01,0.24,51,11,6.1,8,Avalanche Software,T
GC,2005,Fighting,Atari,0.16,0.04,0,0.01,0.21,48,11,6.6,11,Avalanche Software,T
PSP,2006,Fighting,Atari,0.26,0.08,0.13,0.07,0.54,70,21,8.1,19,Dimps Corporation,T
PSP,2007,Fighting,Atari,0.19,0.09,0.08,0.07,0.43,,,,,,
